signal_type,industry,signal_name,current_value,historical_average,trend_strength,market_impact,timing_recommendation,confidence_score,data_sources
Economic,Technology,VC Funding Velocity,2.3,1.8,Strong Positive,High,Accelerate,87,"crunchbase_startups,fred_economic"
Patent,AI/ML,Patent Filing Rate,156,89,Very Strong,Very High,Immediate Action,94,"uspto_patents,world_bank"
Talent,Software,Developer Job Postings,12400,8900,Strong Positive,High,Accelerate,91,"bls_labor,github_ecosystem"
Regulatory,Fintech,Compliance Readiness,0.73,0.65,Moderate Positive,Medium,Proceed with Caution,78,"sec_edgar,census_economic"
Market,E-commerce,Consumer Spending,1.12,1.05,Moderate Positive,High,Accelerate,83,"fred_economic,census_economic"
Technology,Cloud,Infrastructure Adoption,0.89,0.72,Strong Positive,Very High,Immediate Action,92,"github_ecosystem,bls_labor"
Competitive,SaaS,Market Consolidation,0.34,0.28,Moderate Positive,Medium,Monitor Closely,76,"sec_edgar,crunchbase_startups"
Customer,Healthcare,Digital Adoption,0.67,0.45,Very Strong,High,Accelerate,89,"census_economic,bls_labor"
Investment,Renewable Energy,ESG Investment Flow,3.2,2.1,Strong Positive,High,Accelerate,85,"world_bank,sec_edgar"
Innovation,Biotech,R&D Investment Ratio,0.18,0.14,Strong Positive,Very High,Immediate Action,91,"sec_edgar,uspto_patents"
Social,Remote Work,Workforce Distribution,0.42,0.15,Very Strong,High,Accelerate,88,"bls_labor,census_economic"
Economic,Manufacturing,Supply Chain Resilience,0.78,0.69,Moderate Positive,Medium,Proceed Steadily,81,"fred_economic,world_bank"
Market,Gaming,User Engagement,1.34,1.18,Strong Positive,High,Accelerate,86,"github_ecosystem,census_economic"
Regulatory,Privacy Tech,Data Protection Demand,0.91,0.67,Strong Positive,High,Accelerate,84,"sec_edgar,uspto_patents"
Technology,Quantum Computing,Research Investment,2.8,1.4,Very Strong,Very High,Immediate Action,93,"uspto_patents,github_ecosystem"
Competitive,EdTech,Market Fragmentation,0.23,0.31,Moderate Negative,Medium,Wait and See,72,"crunchbase_startups,sec_edgar"
Customer,Sustainability,Consumer Preference Shift,0.76,0.58,Strong Positive,High,Accelerate,87,"census_economic,world_bank"
Investment,Space Tech,Venture Capital Interest,4.1,2.3,Very Strong,High,Immediate Action,90,"crunchbase_startups,uspto_patents"
Market,Cybersecurity,Threat Landscape Evolution,1.45,1.22,Strong Positive,Very High,Accelerate,92,"sec_edgar,bls_labor"
Innovation,Autonomous Vehicles,Technology Readiness,0.68,0.52,Strong Positive,High,Accelerate,86,"uspto_patents,github_ecosystem"
